שם פרטי,"סך הכל בשנים
1948-2021",1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
אדלין,37,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,.,.,.,.,.,.,.,..,..,.,.,.,.,.,.,.,..,..,.,.,.,..,..,.,.,.,.,.,.,.,.,.,.,..,.,..,..,..,..,12,..,..,.,..,..
אדלינה,69,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,.,.,.,.,.,.,..,.,.,.,..,.,.,..,.,.,..,..,..,.,..,..,..,..,..,6,..,..,..,.,.,5,..,6,5,5,..,..,.,5
אדר,"1,840",.,.,.,.,.,.,.,.,..,..,.,..,..,.,.,.,..,..,..,..,..,..,..,.,..,..,..,..,..,7,..,..,..,..,21,32,27,15,34,17,16,35,28,27,40,30,36,45,29,58,41,46,70,45,46,62,50,65,44,37,56,28,43,82,65,55,63,64,78,41,57,77,39,42
אדריאנה,53,.,..,.,..,.,.,.,.,.,.,.,.,.,.,.,.,.,..,..,.,.,.,.,.,.,.,.,..,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,.,.,..,.,.,.,..,.,..,..,.,..,..,..,..,..,..,..,.,..,..,..,..,..,..,..,6,..,..,..,..
אדרת,231,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,..,..,.,..,..,..,.,..,.,..,..,..,..,..,..,..,..,5,..,..,..,..,5,7,..,6,..,..,..,6,..,..,..,8,..,7,7,..,10,10,6,6,7,11,13,7,..,6,7,5,..,6,..,..,..,6,..,..
אהבה,144,.,.,..,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,.,.,..,..,.,.,.,.,.,.,..,..,..,..,..,.,..,.,..,..,.,.,..,..,..,..,..,7,..,..,..,..,11,..,..,..,5,6,8,13,8,10,15,15
אהובה,"4,216",55,60,76,108,127,135,140,150,114,128,136,100,92,125,80,77,67,52,80,51,53,39,42,33,31,32,29,28,23,24,15,31,16,22,17,24,16,25,14,17,13,22,21,18,26,18,17,27,22,25,21,24,23,20,35,36,24,27,32,31,39,33,47,35,57,50,51,54,47,46,51,56,49,50
אהרונה,71,.,..,.,.,..,..,..,..,.,..,..,..,..,.,.,.,..,.,..,..,..,..,7,5,..,5,..,..,.,..,..,5,..,..,..,..,.,..,.,..,..,..,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
אודאל,110,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,.,.,.,.,.,..,.,.,.,.,.,..,.,.,.,..,..,.,.,..,..,.,..,.,..,.,..,..,.,..,..,9,9,8,5,12,15,9,5,14,7
אודט,125,.,.,..,..,..,..,..,..,..,..,6,5,..,..,..,..,..,7,..,..,6,..,..,..,..,..,..,..,..,5,..,..,.,..,..,..,..,..,..,..,..,5,..,..,..,..,..,..,.,..,.,..,..,.,.,.,..,.,.,..,.,.,.,..,.,.,..,.,.,..,..,.,.,.
אודיה,"2,016",..,.,.,..,.,..,..,..,..,5,..,..,..,..,..,..,..,..,..,..,5,..,6,6,6,6,9,19,12,11,11,13,24,13,21,8,20,17,28,29,25,28,26,29,37,36,46,39,49,47,57,51,55,57,61,40,45,48,51,61,71,63,51,55,54,54,51,55,49,62,65,60,58,73
אודל,"3,279",.,.,..,..,.,.,.,.,.,.,.,.,..,.,.,.,..,..,..,..,.,5,..,..,..,..,8,6,..,..,5,..,11,7,..,13,13,..,11,11,6,14,16,12,15,19,17,16,33,19,35,26,46,56,47,53,65,62,59,90,122,123,145,158,237,245,232,211,191,210,163,147,132,131
אודליה,"4,096",.,..,..,..,..,..,..,..,9,18,8,9,21,5,17,12,18,22,27,24,27,17,14,30,35,48,117,162,180,165,161,141,138,137,129,93,113,102,125,110,72,67,74,80,54,55,65,56,50,47,38,61,51,65,47,51,50,55,49,46,42,53,50,49,63,46,63,68,64,55,39,32,46,43
אודם,97,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,.,.,.,..,.,..,..,.,..,.,..,..,6,..,..,5,..,..,..,..,.,..,..,..,..,5,6,..,..,..,..,..,5,..,..,..,6,6
אוהב,66,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,.,..,..,.,..,.,.,.,..,..,.,.,.,..,..,..,..,5,6,..,7,..,..,..,..,..,..,..,..,..,.,..,.,..,.,..,..,.,..,..,..
אווה,"1,206",.,5,7,7,5,..,8,..,7,..,9,6,5,..,13,5,12,11,11,6,6,17,17,12,11,9,11,13,14,8,6,12,7,13,8,7,9,9,9,5,..,..,8,8,..,7,11,..,6,6,6,10,12,17,18,24,14,15,14,23,23,28,40,43,49,47,51,56,60,62,50,50,43,50
אוולין,354,.,.,.,.,.,.,.,..,..,.,.,.,..,..,..,..,..,..,..,..,.,..,..,..,.,.,.,.,..,..,..,..,..,..,..,..,..,.,..,..,..,..,.,..,..,..,5,.,..,..,..,..,..,..,7,..,..,6,10,11,24,13,20,27,14,17,24,16,21,10,20,11,9,13
אוולינה,44,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,.,.,..,..,..,..,.,.,..,..,..,..,..,6,..,..,..,5,.,..,..,..,..,..
אולגה,169,..,..,.,..,..,..,..,5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5,..,..,..,..,.,..,.,..,..,..,..,.,..,.,.,.,..,.,..,5,..,5,..,..,8,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,..,.,.,.,..,..,.,..,..
אוליביה,261,.,.,.,..,..,6,..,..,..,5,6,..,..,..,..,..,..,..,..,.,.,.,.,.,.,..,.,..,.,.,.,.,..,.,..,..,..,.,.,.,.,.,.,.,..,.,.,.,..,.,..,.,.,..,..,..,..,..,..,.,..,..,..,5,8,12,14,18,19,26,22,17,23,25
אומה,82,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,.,.,.,..,.,..,6,..,..,7,..,..,6,..,5,..,5,5,5,..,..,..,5
אוניל,37,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,..,.,.,..,..,..,.,..,..,..,.,..,..,..,..,..,..,.,5,..,..,..,..,.,..,.,..,.,.,.,.
אוסנת,"2,455",..,5,..,..,..,..,..,10,8,21,17,18,14,27,48,52,68,82,112,119,110,159,159,120,119,100,104,74,72,74,63,48,43,38,36,23,25,44,29,28,22,30,26,16,24,24,22,16,16,12,13,8,12,6,10,10,..,11,6,6,..,..,7,5,..,..,6,9,5,..,..,5,7,..
אופאל,123,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,..,..,..,6,..,..,..,..,..,..,..,..,..,..,5,5,..,7,..,6,5,6,10,6,9,8,7,5,6,5
אופיר,"7,156",.,.,.,.,.,.,.,.,.,..,.,.,..,.,..,.,..,.,.,.,6,..,5,..,..,5,..,..,..,6,..,..,..,9,7,8,6,..,7,34,44,72,57,66,94,143,166,174,225,224,261,239,284,267,268,221,205,179,161,204,218,182,166,172,181,429,327,300,278,238,273,261,206,240
אופירה,"1,087",..,6,6,..,8,7,7,6,30,26,21,18,21,18,26,22,39,27,29,23,19,19,25,35,43,77,49,44,40,28,43,59,39,35,48,21,10,..,..,5,..,..,6,..,..,..,..,..,..,..,..,..,..,..,..,..,.,.,..,..,..,..,..,.,.,..,..,.,.,..,..,.,.,.
אופל,"1,072",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,.,..,.,.,..,..,..,..,..,6,..,8,5,6,10,11,11,15,46,48,35,26,41,54,53,50,64,57,53,37,49,24,33,34,29,39,38,28,32,31,20,31,35
אופק,"2,202",.,.,.,.,.,.,.,.,.,.,.,..,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,..,..,.,.,..,.,..,.,.,..,..,..,..,8,13,9,9,16,32,38,65,127,131,143,185,177,147,126,95,78,103,61,53,53,33,43,52,47,53,32,45,33,48,46,48,38
אופרי,260,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,..,.,.,.,.,..,..,.,.,.,..,..,..,..,..,..,..,..,..,..,..,..,26,15,17,45,16,31,26,19,10,17,12
אוצר,45,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,..,.,.,.,.,..,..,.,..,..,..,..,..,.,..,..,..,..,.,..,..,..,..,5,..,..,..,..,..
אור,"10,587",..,..,..,..,..,..,..,..,..,6,6,7,..,11,14,9,13,17,14,13,13,15,17,13,17,25,23,25,25,30,27,23,31,29,53,44,56,89,122,124,199,214,282,295,298,327,347,358,311,326,323,371,320,338,347,333,279,257,327,278,219,234,205,206,224,289,379,310,278,252,263,235,229,202
אור אל,112,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,.,.,.,.,.,.,.,.,.,.,..,..,..,..,..,..,5,..,5,..,..,..,10,6,..,13,5,7,7,5,..,5,..,..,..,.,..,..,..,..,..,.,.,..,.,.,..,..,.,.,.,..
אור חן,51,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,.,.,..,..,..,.,..,.,.,..,6,.,..,..,..,..,..,..,..,..,..,.,.,.,..,..,.,..,..,..,.,..,.,.,..,..
אור-אל,101,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,.,.,.,.,.,..,..,.,..,.,..,..,..,..,..,5,5,..,7,6,7,..,10,6,7,..,..,..,..,..,.,5,.,..,.,..,.,..,.,.,.,..,..,..,.,.
אור-טל,38,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,.,.,.,.,.,.,.,.,.,..,.,..,..,..,.,.,7,..,..,..,..,..,.,..,.,.,..,.,.,.,.,.,..,.,.,..,.,.,..,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.
אור-יה,77,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,.,.,.,.,.,.,.,.,.,..,.,..,..,.,.,..,.,.,.,.,..,..,.,.,..,.,..,..,..,.,.,..,..,.,.,..,..,..,..,..,..,..,..,.,..,..,..,..,..,..,..,..,..,6,5,5,..
אור-לי,92,.,.,.,.,.,.,..,.,.,.,.,..,..,5,5,7,..,..,..,..,..,..,..,..,..,.,..,..,..,..,..,..,..,5,..,..,..,..,..,..,..,..,.,.,.,..,.,..,.,..,..,.,.,..,.,.,..,.,.,.,..,..,..,.,..,..,.,.,..,.,.,..,..,.
אוראל,"2,593",.,.,.,.,.,.,.,..,.,..,.,..,.,.,..,.,.,.,.,..,..,..,..,.,..,..,.,.,..,.,..,.,..,27,18,11,15,26,22,41,49,59,45,71,108,128,120,106,130,106,132,124,126,112,119,98,100,71,69,46,44,54,43,40,40,30,35,38,30,34,32,32,23,22
